"label","name","super_class","is_extendable","sys_updated_on"
"Validation Script","sys_script_validator","Application File","false","2024-12-02 17:23:10"
"Remote Table","sys_script_vtable","Application File","false","2024-12-02 17:42:35"
"Storage Disk Usage Collection Job","sys_sdu_collection_job","","false","2024-12-02 18:05:01"
"Search Autocomplete Query Event","sys_search_autocomplete_query_event","","false","2024-12-02 17:29:20"
"Search Application Configuration","sys_search_context_config","Application File","false","2024-12-02 17:49:15"
"Search Event","sys_search_event","","false","2024-12-02 17:49:11"
"Facet","sys_search_facet","Application File","false","2024-12-02 17:49:12"
"Search Facet Event","sys_search_facet_event","","false","2024-12-02 17:29:20"
"Navigation Tab","sys_search_filter","Application File","false","2024-12-02 17:49:12"
"Genius Result Event Action","sys_search_genius_result_event_action","","false","2024-12-02 17:29:20"
"Search Genius Result Field","sys_search_genius_result_field","Variables","false","2024-12-02 17:49:13"
"Search Genius Result Model","sys_search_genius_result_model","Application File","false","2024-12-02 17:49:13"
"Search Result Clicked","sys_search_result_clicked","","false","2024-12-02 17:29:20"
"Search Scripted Post-processor","sys_search_scripted_processor","Application File","false","2024-12-02 17:49:15"
"Search Signal Event","sys_search_signal_event","","false","2024-12-02 17:29:20"
"Search Signal Genius Result Triggered Event","sys_search_signal_genius_result_triggered_event","","false","2024-12-02 17:29:20"
"Search Signal Result Event","sys_search_signal_result_event","","false","2024-12-02 17:29:20"
"Search Signal Result Event Action","sys_search_signal_result_event_action","","false","2024-12-02 17:29:20"
"Search Signal Negative (Random) Results","sys_search_signal_result_event_negative","","false","2024-12-02 17:29:20"
"Sort Option","sys_search_sort_option","Application File","false","2024-12-02 17:49:13"
"Search Source","sys_search_source","Application File","false","2024-12-02 17:49:14"
"Search Event per source","sys_search_source_event","","false","2024-12-02 17:49:11"
"Search Source Filter","sys_search_source_filter","Application File","false","2024-12-02 17:49:12"
"Search Suggestion","sys_search_suggestion","","false","2024-12-02 17:49:17"
"Search Suggestion Exclusion List","sys_search_suggestion_blacklist","","false","2024-12-02 17:49:18"
"Access Control","sys_security_acl","Application File","false","2024-12-02 17:23:54"
"Access Roles","sys_security_acl_role","Application File","false","2024-12-02 17:23:54"
"Security Attribute","sys_security_attribute","Application File","false","2024-12-02 17:31:16"
"Security audit","sys_security_audit","","true","2024-12-02 17:28:43"
"Security field audit","sys_security_field_audit","","false","2024-12-02 17:28:43"
"Object Operation","sys_security_obj_oper","Application File","false","2024-12-02 17:23:54"
"Operation","sys_security_operation","Application File","false","2024-12-02 17:23:54"
"Security Allow/Deny List Entity","sys_security_restricted_list","Application File","false","2024-12-02 17:23:54"
"Security Table Audit","sys_security_table_level_audit","Security audit","false","2024-12-02 17:28:43"
"Type","sys_security_type","Application File","false","2024-12-02 17:23:54"
"Security Auditable Field","sys_sec_field_audit_config","","false","2024-12-02 17:28:43"
"Semaphore","sys_semaphore","Application File","false","2024-12-02 17:24:00"
"Semaphore Set","sys_semaphore_set","Application File","false","2024-12-02 17:24:00"
"Service","sys_service","","false","2024-12-02 17:28:39"
"Service API","sys_service_api","Application File","false","2024-12-02 17:40:30"
"Service App Log","sys_service_app_log","","false","2024-12-02 17:27:20"
"Service Authentication","sys_service_authentication","","false","2024-12-02 17:28:39"
"Service Endpoint","sys_service_endpoint","","false","2024-12-02 17:28:39"
"Service Endpoint State","sys_service_endpoint_state","","false","2024-12-02 17:28:39"
"Action parameters mapping","sys_sg_action_param_map","Application File","false","2024-12-02 17:30:45"
"Action Screen","sys_sg_action_screen","Screen","false","2024-12-02 17:30:47"
"Activity Stream Screen","sys_sg_activity_stream_screen","Screen","false","2024-12-02 17:30:47"
"Mobile Alert","sys_sg_alert","Application File","false","2024-12-02 17:30:47"
"Quick actions menu","sys_sg_alp_quick_action_map","Application File","false","2024-12-02 17:30:24"
"Launcher screen","sys_sg_applet_launcher","Application File","false","2024-12-02 17:30:24"
"Launcher header title","sys_sg_applet_launcher_header","Application File","false","2024-12-02 17:30:25"
"Launcher section mapping","sys_sg_applet_launcher_m2m_section","Application File","false","2024-12-02 17:30:25"
"Launcher tab","sys_sg_applet_launcher_tab","Navigation Tab","false","2024-12-02 17:30:25"
"Screen tab","sys_sg_applet_tab","Navigation Tab","false","2024-12-02 17:30:24"
"Badge Count","sys_sg_badge_count","Application File","false","2024-12-02 17:30:24"
"Mobile web screen","sys_sg_browser_screen","Screen","false","2024-12-02 17:30:43"
"Function","sys_sg_button","Application File","true","2024-12-02 17:30:24"
"Button Attribute","sys_sg_button_attribute","Application File","false","2024-12-02 17:30:43"
"Button Attribute Name","sys_sg_button_attribute_name","Application File","false","2024-12-02 17:30:47"
